datetime,delay,distance,origin,destination
01111135,1151.86,1014.6,N2,-N/A-
01111136,1222.2,1613.83,N2,-N/A-
01111136,1219.76,278.922,N2,-N/A-
01111136,1162.47,807.693,N2,-N/A-
01111137,1179.41,1169.63,N2,-N/A-
01111138,1156.19,1355.74,N2,-N/A-
01111155,1114.85,489.98,RB1990,ok2625
01111156,1137.73,2785.25,RB1990,ok2625
01111156,1103.93,3053.32,RB1990,ok2625
01111156,1134.83,844.747,RB1990,ok2625
01111157,1159.52,2311.59,RB1990,ok2625
01111158,1153.24,3058.46,RB1990,ok2625
01111158,1173.2,3367.37,RB1990,ok2625
01111158,1125.61,1631.35,RB1990,ok2625
01111214,1176.79,2060.14,RB1863,ok2409
01111214,1204.74,967.448,RB1863,ok2409
01111215,1121.78,2813.76,RB1863,ok2409
01111216,1207.03,2105.9,RB1863,ok2409
01111216,326.69,1198.45,RB1863,ok2409
01111232,1185.69,2078.12,RB2275,ok3085
01111233,1163.5,1016.36,RB2275,ok3085
01111233,1164.37,984.517,RB2275,ok3085
01111234,1101.74,1923.13,RB2275,ok3085
01111234,1182.6,1465.24,RB2275,ok3085
01111235,1239.36,2626.49,RB2275,ok3085
01111252,1222.17,1097.9,VC1982,gk1016
01111253,1157.24,2654.24,VC1982,gk1016
01111253,1237.71,3197.08,VC1982,gk1016
01111253,1232.34,1676.78,VC1982,gk1016
01111254,1165.2,1600.37,VC1982,gk1016
01111254,1198.88,3810.54,VC1982,gk1016
01111255,1282.75,2300.21,VC1982,gk1016
01111313,1085.65,1394.24,KG1180,ce31
01111314,1047.65,1892.16,KG1180,ce31
01111314,1076.09,1407.88,KG1180,ce31
01111314,1116.02,594.614,KG1180,ce31
01111314,1014.02,674.932,KG1180,ce31
01111315,1115.06,601.693,KG1180,ce31
01111315,1104.57,2226.51,KG1180,ce31
01111316,1131.17,859.923,KG1180,ce31
01121038,1129.5,963.601,N2,-N/A-
01121039,1225.74,1691.4,N2,-N/A-
01121039,1151.0,1792.84,N2,-N/A-
01121039,1218.43,150.819,N2,-N/A-
01121040,1170.43,1016.64,N2,-N/A-
01121041,1274.76,1814.1,N2,-N/A-
01121041,1213.68,443.574,N2,-N/A-
01121041,1145.5,1018.66,N2,-N/A-
01121102,1227.22,2123.33,RB1990,ok2625
01121102,1151.77,1177.1,RB1990,ok2625
01121102,1142.2,926.214,RB1990,ok2625
01121103,1169.62,344.886,RB1990,ok2625
01121128,1079.9,2203.06,FX2706,tm2706
01121129,1234.9,2889.48,FX2706,tm2706
01121129,1202.52,2924.59,FX2706,tm2706
01121129,1148.67,2221.96,FX2706,tm2706
01121130,1099.05,761.887,FX2706,tm2706
01121130,1151.5,3311.53,FX2706,tm2706
01121131,1252.72,1819.79,FX2706,tm2706
01121147,1162.54,3033.55,RB2275,ok3085
01121148,1145.06,530.139,RB2275,ok3085
01121148,1259.51,445.346,RB2275,ok3085
01121148,1215.52,3072.35,RB2275,ok3085
01121149,1177.96,2496.51,RB2275,ok3085
01121150,1200.83,2431.97,RB2275,ok3085
01121205,1210.11,2318.4,RB982,ok889
01121206,1168.62,3320.88,RB982,ok889
01121207,1178.86,1891.47,RB982,ok889
01121207,1149.33,3162.71,RB982,ok889
01121224,1125.83,3320.46,VC2324,ok3056
01121225,1158.12,1407.98,VC2324,ok3056
01121225,1139.43,3248.28,VC2324,ok3056
01121226,1026.85,751.461,VC2324,ok3056
01121227,1151.33,3145.17,VC2324,ok3056
01121227,1182.62,2448.16,VC2324,ok3056
01121243,1175.72,1917.02,RB1863,ok2409
01121244,1229.47,2888.3,RB1863,ok2409
01121244,1179.51,1979.29,RB1863,ok2409
01121244,1175.75,1132.92,RB1863,ok2409
01121244,1230.86,1949.99,RB1863,ok2409
01121245,1199.75,480.434,RB1863,ok2409
01121245,1186.22,2372.37,RB1863,ok2409
01121246,1241.54,153.282,RB1863,ok2409
01121306,1245.94,2578.6,VC1982,gk1016
01121306,1159.53,3316.15,VC1982,gk1016
01121306,1160.45,350.378,VC1982,gk1016
01121307,1244.91,3606.61,VC1982,gk1016
01121308,1194.76,1584.59,VC1982,gk1016
01131032,1100.19,324.289,N2,-N/A-
01131033,1094.94,802.299,N2,-N/A-
01131033,1053.51,768.497,N2,-N/A-
01131033,1044.75,1997.48,N2,-N/A-
01131033,1126.71,1995.01,N2,-N/A-
01131035,1072.04,982.995,N2,-N/A-
01131053,1046.87,2040.35,NY7,yn2
01131054,1112.83,2568.67,NY7,yn2
01131054,1129.97,493.386,NY7,yn2
01131054,1091.44,2841.95,NY7,yn2
01131054,1088.82,2194.23,NY7,yn2
01131055,1095.96,684.374,NY7,yn2
01131055,1116.26,2423.8,NY7,yn2
01131056,1110.54,2419.48,NY7,yn2
01131115,1194.31,866.276,VC2324,ok3056
01131116,1161.27,2948.58,VC2324,ok3056
01131116,1169.97,1022.87,VC2324,ok3056
01131116,1126.7,3314.5,VC2324,ok3056
01131117,1156.93,1823.87,VC2324,ok3056
01131117,1213.67,444.794,VC2324,ok3056
01131118,1142.72,1853.67,VC2324,ok3056
01131119,1198.3,3342.9,VC2324,ok3056
01131136,1195.5,875.18,FX2706,tm2706
01131136,1172.03,2876.45,FX2706,tm2706
01131136,1186.86,2013.29,FX2706,tm2706
01131136,1207.35,733.569,FX2706,tm2706
01131137,1202.27,2361.54,FX2706,tm2706
01131137,1186.67,2409.77,FX2706,tm2706
01131138,1204.29,3812.67,FX2706,tm2706
01131138,1177.58,2441.48,FX2706,tm2706
01131155,1237.67,1473.91,RB1863,ok2409
01131155,1245.22,1484.41,RB1863,ok2409
01131155,1233.74,2824.18,RB1863,ok2409
01131156,1243.53,4056.58,RB1863,ok2409
01131156,1166.74,1645.26,RB1863,ok2409
01131157,1227.56,1823.81,RB1863,ok2409
01131157,1202.05,4056.7,RB1863,ok2409
01131214,1194.58,2050.24,RB2067,ok2730
01131214,1219.97,684.282,RB2067,ok2730
01131214,1157.2,2807.35,RB2067,ok2730
01131215,1192.14,1945.51,RB2067,ok2730
01131216,1112.46,3820.99,RB2067,ok2730
01131233,1226.52,889.066,RB982,ok889
01131233,1243.41,3226.61,RB982,ok889
01131234,1261.38,1366.29,RB982,ok889
01131235,1285.73,1755.48,RB982,ok889
01131235,1193.17,1404.1,RB982,ok889
01141031,1137.99,1411.93,N2,-N/A-
01141032,1117.53,699.395,N2,-N/A-
01141032,1069.58,1581.2,N2,-N/A-
01141032,1193.12,1705.3,N2,-N/A-
01141032,1156.87,3508.04,N2,-N/A-
01141033,1188.61,1379.86,N2,-N/A-
01141033,1095.88,442.913,N2,-N/A-
01141034,1148.35,2933.67,N2,-N/A-
01141053,1170.82,648.027,RB982,ok889
01141053,1180.9,2003.58,RB982,ok889
01141053,1178.06,3366.93,RB982,ok889
01141054,1078.96,1958.01,RB982,ok889
01141055,1232.89,2969.12,RB982,ok889
01141055,1200.37,1400.0,RB982,ok889
01141115,1196.98,3226.38,RB2067,ok2730
01141115,1195.65,705.469,RB2067,ok2730
01141115,1217.39,1427.47,RB2067,ok2730
01141116,1209.26,2608.87,RB2067,ok2730
01141116,1187.15,2006.82,RB2067,ok2730
01141117,1149.09,2880.34,RB2067,ok2730
01141117,1198.31,2990.98,RB2067,ok2730
01141135,1023.42,2391.26,VC2324,ok3056
01141135,1177.28,360.309,VC2324,ok3056
01141135,1192.2,2045.69,VC2324,ok3056
01141135,1097.58,1299.6,VC2324,ok3056
01141136,1226.88,2466.33,VC2324,ok3056
01141137,1026.18,2561.13,VC2324,ok3056
01141155,1162.11,1006.13,RB1990,ok2625
01141156,1140.82,395.05,RB1990,ok2625
01141156,1143.61,486.199,RB1990,ok2625
01141156,1211.14,589.17,RB1990,ok2625
01141157,1077.36,440.913,RB1990,ok2625
01141158,1155.29,1312.1,RB1990,ok2625
01141214,1013.57,2893.14,VC1982,gk1016
01141215,1181.85,3896.0,VC1982,gk1016
01141215,1125.4,1752.51,VC1982,gk1016
01141215,1192.53,732.418,VC1982,gk1016
01141215,1223.14,2223.78,VC1982,gk1016
01141216,1237.95,2447.3,VC1982,gk1016
01141217,1249.6,1658.47,VC1982,gk1016
01141234,1217.68,1492.02,RB2275,ok3085
01141234,1263.34,2958.97,RB2275,ok3085
01141234,1265.32,3095.44,RB2275,ok3085
01141235,1241.42,3681.45,RB2275,ok3085
01141235,1155.42,3589.52,RB2275,ok3085
01141236,1224.55,3297.89,RB2275,ok3085
01141254,1093.66,3205.18,NY7,yn2
01141254,1008.11,446.485,NY7,yn2
01141254,1166.9,3101.63,NY7,yn2
01141254,1146.81,1567.15,NY7,yn2
01141255,1121.96,400.571,NY7,yn2
01141256,1255.97,3124.39,NY7,yn2
01141311,1125.98,3107.19,FX2706,tm2706
01141311,1135.67,3207.53,FX2706,tm2706
01141311,1115.04,3454.57,FX2706,tm2706
01141312,1144.52,3424.48,FX2706,tm2706
01141313,1225.28,3702.76,FX2706,tm2706
01141313,1125.97,653.055,FX2706,tm2706
01141313,1286.5,3343.62,FX2706,tm2706
01141518,934.972,703.678,-N/A-,-N/A-
01141518,957.602,650.364,-N/A-,-N/A-
01141520,1115.19,320.609,N2,-N/A-
01141538,1022.37,299.387,-N/A-,-N/A-
01141539,974.994,977.493,-N/A-,-N/A-
01141539,1136.94,1061.76,N2,-N/A-
01141600,1033.58,1251.22,-N/A-,-N/A-
01141600,1008.8,768.338,-N/A-,-N/A-
01141600,1027.68,1176.53,-N/A-,-N/A-
01141616,1125.88,1857.23,N2,-N/A-
01141616,1002.0,2656.49,-N/A-,-N/A-
01141617,1063.82,507.867,-N/A-,-N/A-
01151020,1146.47,313.752,NY7,yn2
01151021,1114.06,2159.3,NY7,yn2
01151021,1140.37,521.656,NY7,yn2
01151021,1146.38,723.094,NY7,yn2
01151021,1046.59,452.437,NY7,yn2
01151022,1163.76,376.313,NY7,yn2
01151022,1088.07,1572.26,NY7,yn2
01151023,1150.66,840.285,NY7,yn2
01151041,1114.73,1015.23,NY7,yn2
01151041,1150.36,634.23,NY7,yn2
01151041,1120.45,2035.74,NY7,yn2
01151041,1147.25,1815.41,NY7,yn2
01151042,1110.58,252.314,NY7,yn2
01151042,1090.04,2059.79,NY7,yn2
01151043,1094.91,2673.36,NY7,yn2
01151620,1097.21,422.807,N2,-N/A-
01151620,1050.65,977.486,-N/A-,-N/A-
01151621,994.834,941.116,-N/A-,-N/A-
01151640,1128.27,1865.62,-N/A-,-N/A-
01151640,1002.88,1423.89,-N/A-,-N/A-
01151640,1000.62,161.582,-N/A-,-N/A-
01151700,1040.51,858.214,-N/A-,-N/A-
01151701,925.056,2897.94,-N/A-,-N/A-
01151701,1104.37,2549.68,N2,-N/A-
01151721,1116.17,1045.2,N2,-N/A-
01151722,1058.11,190.402,-N/A-,-N/A-
01181117,1235.95,3594.57,VC2497,ok3265
01181156,1406.51,3190.16,RB1816,ok2349
01181221,1203.42,765.158,MT8504,md176
01181240,1150.47,3776.36,FX1583,tm1583
01181300,1150.38,3186.52,N2,-N/A-
01181436,1199.9,4414.1,DA1674,ad1674
01181501,1211.92,2105.63,FX1498,tm1498
01191022,1114.13,957.073,RB2188,ok2964
01191023,1157.56,2560.01,RB2188,ok2964
01191023,1114.56,1045.36,RB2188,ok2964
01191023,1142.19,3688.83,RB2188,ok2964
01191024,1080.47,3109.64,RB2188,ok2964
01191025,1179.13,1134.81,RB2188,ok2964
01191044,1176.04,634.537,AX1410,db99
01191044,1193.9,1728.87,AX1410,db99
01191044,1246.5,1803.17,AX1410,db99
01191045,1166.82,2928.98,AX1410,db99
01191045,1155.05,2849.22,AX1410,db99
01191046,1197.0,2925.19,AX1410,db99
01191046,1152.91,2245.86,AX1410,db99
01191103,1138.59,1798.82,RB2575,ok3587
01191104,1201.92,1915.7,RB2575,ok3587
01191104,981.967,1719.52,RB2575,ok3587
01191104,1158.5,3102.67,RB2575,ok3587
01191104,1133.88,3089.4,RB2575,ok3587
01191105,1212.03,1545.09,RB2575,ok3587
01191105,1137.32,2558.67,RB2575,ok3587
01191106,1140.78,3334.26,RB2575,ok3587
01191123,1096.48,3244.8,FX2427,tm2427
01191123,1129.77,563.813,FX2427,tm2427
01191123,1173.57,1928.53,FX2427,tm2427
01191125,1138.98,1626.18,FX2427,tm2427
01191201,1043.91,20.5399,VC2423,gk1038
01191202,1191.22,787.22,VC2423,gk1038
01191203,1127.48,2029.2,VC2423,gk1038
01191203,1198.22,1806.15,VC2423,gk1038
01191204,1277.79,1940.1,VC2423,gk1038
01191221,1178.36,2727.93,VC2497,ok3265
01191222,1138.42,3286.53,VC2497,ok3265
01191223,1134.07,3820.96,VC2497,ok3265
01191223,1138.38,4011.88,VC2497,ok3265
01191223,1060.59,2302.32,VC2497,ok3265
01191224,1098.53,3051.79,VC2497,ok3265
01191224,1177.76,3173.61,VC2497,ok3265
01191444,1095.51,2404.27,RB1989,ok2624
01191444,1115.15,2670.14,RB1989,ok2624
01191444,1187.49,663.187,RB1989,ok2624
01191444,1206.65,1210.85,RB1989,ok2624
01191445,1149.63,1788.54,RB1989,ok2624
01191446,951.705,1932.5,RB1989,ok2624
01191502,1075.25,2971.56,RB1902,ok2460
01191503,1149.81,2182.09,RB1902,ok2460
01191503,1164.78,2837.61,RB1902,ok2460
01191503,1032.8,3263.38,RB1902,ok2460
01191504,1079.77,3737.29,RB1902,ok2460
01191505,1052.5,3822.1,RB1902,ok2460
01191505,1050.96,3591.69,RB1902,ok2460
01191520,1010.89,2068.58,-N/A-,-N/A-
01191520,1001.4,1148.14,-N/A-,-N/A-
01191520,1034.33,273.478,-N/A-,-N/A-
01191522,977.581,2799.95,VC2502,gk1075
01191523,932.569,3785.96,VC2502,gk1075
01191523,991.261,3112.55,VC2502,gk1075
01191523,1074.17,1595.37,VC2502,gk1075
01191524,946.711,757.604,VC2502,gk1075
01191545,1103.46,1461.45,N2,-N/A-
01191545,1023.13,1209.72,-N/A-,-N/A-
01191545,1093.09,2117.06,N2,-N/A-
01191545,1077.23,1360.27,-N/A-,-N/A-
01191546,1070.03,2161.95,N2,-N/A-
01191546,1252.86,2446.39,N2,-N/A-
01191546,1008.42,3347.72,N2,-N/A-
01191547,994.841,3617.73,N2,-N/A-
01191547,1174.6,2100.3,N2,-N/A-
01191548,1040.67,4285.85,N2,-N/A-
01191601,1126.12,1133.3,-N/A-,-N/A-
01191601,1102.29,359.573,N2,-N/A-
01191619,1099.07,2052.33,N2,-N/A-
01191620,1124.18,559.828,-N/A-,-N/A-
01191620,1067.4,225.348,-N/A-,-N/A-
01200952,1089.14,3931.92,N2,-N/A-
01200953,1159.25,1744.87,N2,-N/A-
01200953,1132.25,1247.54,N2,-N/A-
01200953,1185.38,2802.45,N2,-N/A-
01200953,1129.83,2353.78,N2,-N/A-
01200954,1088.29,3296.88,N2,-N/A-
01200954,1097.22,3139.16,N2,-N/A-
01200955,1186.69,3295.19,N2,-N/A-
01201012,1089.34,243.658,FX2427,tm2427
01201012,1140.68,797.401,FX2427,tm2427
01201012,1189.03,601.738,FX2427,tm2427
01201013,1090.94,407.679,FX2427,tm2427
01201013,1129.13,720.988,FX2427,tm2427
01201014,1082.34,959.178,FX2427,tm2427
01201014,1193.92,2813.92,FX2427,tm2427
01201055,1151.25,3037.89,VC2502,gk1075
01201055,1132.46,4019.37,VC2502,gk1075
01201056,1158.36,3694.21,VC2502,gk1075
01201057,1195.78,4126.94,VC2502,gk1075
01201057,1166.24,2992.58,VC2502,gk1075
01201057,1214.67,2965.92,VC2502,gk1075
01201057,1078.96,3206.5,VC2502,gk1075
01201058,1199.97,4095.88,VC2502,gk1075
01201115,1110.09,1411.28,RB1902,ok2460
01201115,1063.99,3168.71,RB1902,ok2460
01201115,1034.04,3573.28,RB1902,ok2460
01201116,1005.46,2830.63,RB1902,ok2460
01201117,1103.14,2573.96,RB1902,ok2460
01201117,1098.08,3548.8,RB1902,ok2460
01201136,1257.5,4274.96,AX1410,db99
01201136,1162.71,3357.57,AX1410,db99
01201136,1258.67,3669.51,AX1410,db99
01201136,1273.22,3120.14,AX1410,db99
01201137,1200.58,2872.34,AX1410,db99
01201137,1305.2,3767.63,AX1410,db99
01201157,1169.22,1400.15,RB1989,ok2624
01201157,1141.21,1086.68,RB1989,ok2624
01201158,1190.99,3644.85,RB1989,ok2624
01201158,1139.62,3728.39,RB1989,ok2624
01201159,1084.57,2061.82,RB1989,ok2624
01201159,1180.05,3199.11,RB1989,ok2624
01201159,1161.33,4338.71,RB1989,ok2624
01201217,1083.25,684.229,RB2575,ok3587
01201218,1074.0,3411.36,RB2575,ok3587
01201218,1095.39,3310.32,RB2575,ok3587
01201219,1042.18,3404.64,RB2575,ok3587
01201220,1100.0,1879.14,RB2575,ok3587
01201220,1080.16,4334.76,RB2575,ok3587
01201236,1058.08,1863.17,VC2497,ok3265
01201236,990.163,2615.66,VC2497,ok3265
01201255,1128.56,2056.05,VC2423,gk1038
01201256,1235.85,2006.92,VC2423,gk1038
01201256,1252.31,1569.73,VC2423,gk1038
01201257,1110.34,1973.83,VC2423,gk1038
01201257,1151.85,2677.3,VC2423,gk1038
01201257,1145.74,4104.35,VC2423,gk1038
01201258,1093.07,3904.02,VC2423,gk1038
01201503,1098.88,434.155,N2,-N/A-
01201504,1079.67,537.259,-N/A-,-N/A-
01201504,1013.42,1448.08,-N/A-,-N/A-
01201522,980.104,1195.86,-N/A-,-N/A-
01201523,1109.35,1252.34,N2,-N/A-
01201523,1119.16,675.208,-N/A-,-N/A-
01201541,937.501,1516.04,-N/A-,-N/A-
01201541,914.163,748.862,-N/A-,-N/A-
01201541,951.214,652.836,-N/A-,-N/A-
01201559,985.997,1250.41,-N/A-,-N/A-
01201559,1129.58,2101.64,N2,-N/A-
01201559,911.834,2824.38,-N/A-,-N/A-
01211100,1123.49,1115.22,N2,-N/A-
01211101,1165.91,2129.88,N2,-N/A-
01211101,1086.05,2572.37,N2,-N/A-
01211103,1147.1,2260.1,N2,-N/A-
01211125,1120.95,354.641,RB2188,ok2964
01211126,1123.23,3068.51,RB2188,ok2964
01211126,1098.65,3007.99,RB2188,ok2964
01211126,1171.79,813.893,RB2188,ok2964
01211127,1121.2,3216.2,RB2188,ok2964
01211146,1087.71,1916.31,RB1989,ok2624
01211147,1136.18,1578.11,RB1989,ok2624
01211147,1122.2,4037.7,RB1989,ok2624
01211148,1130.93,2888.05,RB1989,ok2624
01211148,1137.75,1138.67,RB1989,ok2624
01211150,1080.03,3872.38,RB1989,ok2624
01211204,1098.17,2262.69,FX2427,tm2427
01211205,1205.22,2931.95,FX2427,tm2427
01211205,1208.55,3351.56,FX2427,tm2427
01211206,1112.49,869.621,FX2427,tm2427
01211206,1148.96,1423.68,FX2427,tm2427
01211223,1241.32,2689.15,RB2575,ok3587
01211224,1196.52,2979.96,RB2575,ok3587
01211224,1214.69,3377.39,RB2575,ok3587
01211224,1211.63,2972.8,RB2575,ok3587
