timestamp,hour,iso_date,pretty_date,pretty_time,day_of_week,worm_length,path_range,strain,allele
201001111135,11.5833333333,2010-01-11,"January 11th, 2010",11:01,1,1151.86,1014.6,N2,-N/A-
201001111136,11.6000000000,2010-01-11,"January 11th, 2010",11:01,1,1219.76,278.922,N2,-N/A-
201001111136,11.6000000000,2010-01-11,"January 11th, 2010",11:01,1,1162.47,807.693,N2,-N/A-
201001111136,11.6000000000,2010-01-11,"January 11th, 2010",11:01,1,1222.2,1613.83,N2,-N/A-
201001111137,11.6166666667,2010-01-11,"January 11th, 2010",11:01,1,1179.41,1169.63,N2,-N/A-
201001111138,11.6333333333,2010-01-11,"January 11th, 2010",11:01,1,1156.19,1355.74,N2,-N/A-
201001111155,11.9166666667,2010-01-11,"January 11th, 2010",11:01,1,1114.85,489.98,RB1990,ok2625
201001111156,11.9333333333,2010-01-11,"January 11th, 2010",11:01,1,1137.73,2785.25,RB1990,ok2625
201001111156,11.9333333333,2010-01-11,"January 11th, 2010",11:01,1,1103.93,3053.32,RB1990,ok2625
201001111156,11.9333333333,2010-01-11,"January 11th, 2010",11:01,1,1134.83,844.747,RB1990,ok2625
201001111157,11.9500000000,2010-01-11,"January 11th, 2010",11:01,1,1159.52,2311.59,RB1990,ok2625
201001111158,11.9666666667,2010-01-11,"January 11th, 2010",11:01,1,1173.2,3367.37,RB1990,ok2625
201001111158,11.9666666667,2010-01-11,"January 11th, 2010",11:01,1,1153.24,3058.46,RB1990,ok2625
201001111158,11.9666666667,2010-01-11,"January 11th, 2010",11:01,1,1125.61,1631.35,RB1990,ok2625
201001111214,12.2333333333,2010-01-11,"January 11th, 2010",12:01,1,1176.79,2060.14,RB1863,ok2409
201001111214,12.2333333333,2010-01-11,"January 11th, 2010",12:01,1,1204.74,967.448,RB1863,ok2409
201001111215,12.2500000000,2010-01-11,"January 11th, 2010",12:01,1,1121.78,2813.76,RB1863,ok2409
201001111216,12.2666666667,2010-01-11,"January 11th, 2010",12:01,1,1207.03,2105.9,RB1863,ok2409
201001111216,12.2666666667,2010-01-11,"January 11th, 2010",12:01,1,326.69,1198.45,RB1863,ok2409
201001111232,12.5333333333,2010-01-11,"January 11th, 2010",12:01,1,1185.69,2078.12,RB2275,ok3085
201001111233,12.5500000000,2010-01-11,"January 11th, 2010",12:01,1,1164.37,984.517,RB2275,ok3085
201001111233,12.5500000000,2010-01-11,"January 11th, 2010",12:01,1,1163.5,1016.36,RB2275,ok3085
201001111234,12.5666666667,2010-01-11,"January 11th, 2010",12:01,1,1182.6,1465.24,RB2275,ok3085
201001111234,12.5666666667,2010-01-11,"January 11th, 2010",12:01,1,1101.74,1923.13,RB2275,ok3085
201001111235,12.5833333333,2010-01-11,"January 11th, 2010",12:01,1,1239.36,2626.49,RB2275,ok3085
201001111252,12.8666666667,2010-01-11,"January 11th, 2010",12:01,1,1222.17,1097.9,VC1982,gk1016
201001111253,12.8833333333,2010-01-11,"January 11th, 2010",12:01,1,1237.71,3197.08,VC1982,gk1016
201001111253,12.8833333333,2010-01-11,"January 11th, 2010",12:01,1,1232.34,1676.78,VC1982,gk1016
201001111253,12.8833333333,2010-01-11,"January 11th, 2010",12:01,1,1157.24,2654.24,VC1982,gk1016
201001111254,12.9000000000,2010-01-11,"January 11th, 2010",12:01,1,1198.88,3810.54,VC1982,gk1016
201001111254,12.9000000000,2010-01-11,"January 11th, 2010",12:01,1,1165.2,1600.37,VC1982,gk1016
201001111255,12.9166666667,2010-01-11,"January 11th, 2010",12:01,1,1282.75,2300.21,VC1982,gk1016
201001111313,13.2166666667,2010-01-11,"January 11th, 2010",13:01,1,1085.65,1394.24,KG1180,ce31
201001111314,13.2333333333,2010-01-11,"January 11th, 2010",13:01,1,1047.65,1892.16,KG1180,ce31
201001111314,13.2333333333,2010-01-11,"January 11th, 2010",13:01,1,1014.02,674.932,KG1180,ce31
201001111314,13.2333333333,2010-01-11,"January 11th, 2010",13:01,1,1076.09,1407.88,KG1180,ce31
201001111314,13.2333333333,2010-01-11,"January 11th, 2010",13:01,1,1116.02,594.614,KG1180,ce31
201001111315,13.2500000000,2010-01-11,"January 11th, 2010",13:01,1,1104.57,2226.51,KG1180,ce31
201001111315,13.2500000000,2010-01-11,"January 11th, 2010",13:01,1,1115.06,601.693,KG1180,ce31
201001111316,13.2666666667,2010-01-11,"January 11th, 2010",13:01,1,1131.17,859.923,KG1180,ce31
201001121038,10.6333333333,2010-01-12,"January 12th, 2010",10:01,2,1129.5,963.601,N2,-N/A-
201001121039,10.6500000000,2010-01-12,"January 12th, 2010",10:01,2,1151.0,1792.84,N2,-N/A-
201001121039,10.6500000000,2010-01-12,"January 12th, 2010",10:01,2,1225.74,1691.4,N2,-N/A-
201001121039,10.6500000000,2010-01-12,"January 12th, 2010",10:01,2,1218.43,150.819,N2,-N/A-
201001121040,10.6666666667,2010-01-12,"January 12th, 2010",10:01,2,1170.43,1016.64,N2,-N/A-
201001121041,10.6833333333,2010-01-12,"January 12th, 2010",10:01,2,1274.76,1814.1,N2,-N/A-
201001121041,10.6833333333,2010-01-12,"January 12th, 2010",10:01,2,1213.68,443.574,N2,-N/A-
201001121041,10.6833333333,2010-01-12,"January 12th, 2010",10:01,2,1145.5,1018.66,N2,-N/A-
201001121102,11.0333333333,2010-01-12,"January 12th, 2010",11:01,2,1142.2,926.214,RB1990,ok2625
201001121102,11.0333333333,2010-01-12,"January 12th, 2010",11:01,2,1151.77,1177.1,RB1990,ok2625
201001121102,11.0333333333,2010-01-12,"January 12th, 2010",11:01,2,1227.22,2123.33,RB1990,ok2625
201001121103,11.0500000000,2010-01-12,"January 12th, 2010",11:01,2,1169.62,344.886,RB1990,ok2625
201001121128,11.4666666667,2010-01-12,"January 12th, 2010",11:01,2,1079.9,2203.06,FX2706,tm2706
201001121129,11.4833333333,2010-01-12,"January 12th, 2010",11:01,2,1202.52,2924.59,FX2706,tm2706
201001121129,11.4833333333,2010-01-12,"January 12th, 2010",11:01,2,1148.67,2221.96,FX2706,tm2706
201001121129,11.4833333333,2010-01-12,"January 12th, 2010",11:01,2,1234.9,2889.48,FX2706,tm2706
201001121130,11.5000000000,2010-01-12,"January 12th, 2010",11:01,2,1151.5,3311.53,FX2706,tm2706
201001121130,11.5000000000,2010-01-12,"January 12th, 2010",11:01,2,1099.05,761.887,FX2706,tm2706
201001121131,11.5166666667,2010-01-12,"January 12th, 2010",11:01,2,1252.72,1819.79,FX2706,tm2706
201001121147,11.7833333333,2010-01-12,"January 12th, 2010",11:01,2,1162.54,3033.55,RB2275,ok3085
201001121148,11.8000000000,2010-01-12,"January 12th, 2010",11:01,2,1145.06,530.139,RB2275,ok3085
201001121148,11.8000000000,2010-01-12,"January 12th, 2010",11:01,2,1215.52,3072.35,RB2275,ok3085
201001121148,11.8000000000,2010-01-12,"January 12th, 2010",11:01,2,1259.51,445.346,RB2275,ok3085
201001121149,11.8166666667,2010-01-12,"January 12th, 2010",11:01,2,1177.96,2496.51,RB2275,ok3085
201001121150,11.8333333333,2010-01-12,"January 12th, 2010",11:01,2,1200.83,2431.97,RB2275,ok3085
201001121205,12.0833333333,2010-01-12,"January 12th, 2010",12:01,2,1210.11,2318.4,RB982,ok889
201001121206,12.1000000000,2010-01-12,"January 12th, 2010",12:01,2,1168.62,3320.88,RB982,ok889
201001121207,12.1166666667,2010-01-12,"January 12th, 2010",12:01,2,1149.33,3162.71,RB982,ok889
201001121207,12.1166666667,2010-01-12,"January 12th, 2010",12:01,2,1178.86,1891.47,RB982,ok889
201001121224,12.4000000000,2010-01-12,"January 12th, 2010",12:01,2,1125.83,3320.46,VC2324,ok3056
201001121225,12.4166666667,2010-01-12,"January 12th, 2010",12:01,2,1139.43,3248.28,VC2324,ok3056
201001121225,12.4166666667,2010-01-12,"January 12th, 2010",12:01,2,1158.12,1407.98,VC2324,ok3056
201001121226,12.4333333333,2010-01-12,"January 12th, 2010",12:01,2,1026.85,751.461,VC2324,ok3056
201001121227,12.4500000000,2010-01-12,"January 12th, 2010",12:01,2,1182.62,2448.16,VC2324,ok3056
201001121227,12.4500000000,2010-01-12,"January 12th, 2010",12:01,2,1151.33,3145.17,VC2324,ok3056
201001121243,12.7166666667,2010-01-12,"January 12th, 2010",12:01,2,1175.72,1917.02,RB1863,ok2409
201001121244,12.7333333333,2010-01-12,"January 12th, 2010",12:01,2,1179.51,1979.29,RB1863,ok2409
201001121244,12.7333333333,2010-01-12,"January 12th, 2010",12:01,2,1230.86,1949.99,RB1863,ok2409
201001121244,12.7333333333,2010-01-12,"January 12th, 2010",12:01,2,1175.75,1132.92,RB1863,ok2409
201001121244,12.7333333333,2010-01-12,"January 12th, 2010",12:01,2,1229.47,2888.3,RB1863,ok2409
201001121245,12.7500000000,2010-01-12,"January 12th, 2010",12:01,2,1186.22,2372.37,RB1863,ok2409
201001121245,12.7500000000,2010-01-12,"January 12th, 2010",12:01,2,1199.75,480.434,RB1863,ok2409
201001121246,12.7666666667,2010-01-12,"January 12th, 2010",12:01,2,1241.54,153.282,RB1863,ok2409
201001121306,13.1000000000,2010-01-12,"January 12th, 2010",13:01,2,1245.94,2578.6,VC1982,gk1016
201001121306,13.1000000000,2010-01-12,"January 12th, 2010",13:01,2,1159.53,3316.15,VC1982,gk1016
201001121306,13.1000000000,2010-01-12,"January 12th, 2010",13:01,2,1160.45,350.378,VC1982,gk1016
201001121307,13.1166666667,2010-01-12,"January 12th, 2010",13:01,2,1244.91,3606.61,VC1982,gk1016
201001121308,13.1333333333,2010-01-12,"January 12th, 2010",13:01,2,1194.76,1584.59,VC1982,gk1016
201001131032,10.5333333333,2010-01-13,"January 13th, 2010",10:01,3,1100.19,324.289,N2,-N/A-
201001131033,10.5500000000,2010-01-13,"January 13th, 2010",10:01,3,1094.94,802.299,N2,-N/A-
201001131033,10.5500000000,2010-01-13,"January 13th, 2010",10:01,3,1053.51,768.497,N2,-N/A-
201001131033,10.5500000000,2010-01-13,"January 13th, 2010",10:01,3,1126.71,1995.01,N2,-N/A-
201001131033,10.5500000000,2010-01-13,"January 13th, 2010",10:01,3,1044.75,1997.48,N2,-N/A-
201001131035,10.5833333333,2010-01-13,"January 13th, 2010",10:01,3,1072.04,982.995,N2,-N/A-
201001131053,10.8833333333,2010-01-13,"January 13th, 2010",10:01,3,1046.87,2040.35,NY7,yn2
201001131054,10.9000000000,2010-01-13,"January 13th, 2010",10:01,3,1088.82,2194.23,NY7,yn2
201001131054,10.9000000000,2010-01-13,"January 13th, 2010",10:01,3,1112.83,2568.67,NY7,yn2
201001131054,10.9000000000,2010-01-13,"January 13th, 2010",10:01,3,1129.97,493.386,NY7,yn2
201001131054,10.9000000000,2010-01-13,"January 13th, 2010",10:01,3,1091.44,2841.95,NY7,yn2
201001131055,10.9166666667,2010-01-13,"January 13th, 2010",10:01,3,1116.26,2423.8,NY7,yn2
201001131055,10.9166666667,2010-01-13,"January 13th, 2010",10:01,3,1095.96,684.374,NY7,yn2
201001131056,10.9333333333,2010-01-13,"January 13th, 2010",10:01,3,1110.54,2419.48,NY7,yn2
201001131115,11.2500000000,2010-01-13,"January 13th, 2010",11:01,3,1194.31,866.276,VC2324,ok3056
201001131116,11.2666666667,2010-01-13,"January 13th, 2010",11:01,3,1126.7,3314.5,VC2324,ok3056
201001131116,11.2666666667,2010-01-13,"January 13th, 2010",11:01,3,1169.97,1022.87,VC2324,ok3056
201001131116,11.2666666667,2010-01-13,"January 13th, 2010",11:01,3,1161.27,2948.58,VC2324,ok3056
201001131117,11.2833333333,2010-01-13,"January 13th, 2010",11:01,3,1156.93,1823.87,VC2324,ok3056
201001131117,11.2833333333,2010-01-13,"January 13th, 2010",11:01,3,1213.67,444.794,VC2324,ok3056
201001131118,11.3000000000,2010-01-13,"January 13th, 2010",11:01,3,1142.72,1853.67,VC2324,ok3056
201001131119,11.3166666667,2010-01-13,"January 13th, 2010",11:01,3,1198.3,3342.9,VC2324,ok3056
201001131136,11.6000000000,2010-01-13,"January 13th, 2010",11:01,3,1172.03,2876.45,FX2706,tm2706
201001131136,11.6000000000,2010-01-13,"January 13th, 2010",11:01,3,1186.86,2013.29,FX2706,tm2706
201001131136,11.6000000000,2010-01-13,"January 13th, 2010",11:01,3,1195.5,875.18,FX2706,tm2706
201001131136,11.6000000000,2010-01-13,"January 13th, 2010",11:01,3,1207.35,733.569,FX2706,tm2706
201001131137,11.6166666667,2010-01-13,"January 13th, 2010",11:01,3,1202.27,2361.54,FX2706,tm2706
201001131137,11.6166666667,2010-01-13,"January 13th, 2010",11:01,3,1186.67,2409.77,FX2706,tm2706
201001131138,11.6333333333,2010-01-13,"January 13th, 2010",11:01,3,1177.58,2441.48,FX2706,tm2706
201001131138,11.6333333333,2010-01-13,"January 13th, 2010",11:01,3,1204.29,3812.67,FX2706,tm2706
201001131155,11.9166666667,2010-01-13,"January 13th, 2010",11:01,3,1237.67,1473.91,RB1863,ok2409
201001131155,11.9166666667,2010-01-13,"January 13th, 2010",11:01,3,1245.22,1484.41,RB1863,ok2409
201001131155,11.9166666667,2010-01-13,"January 13th, 2010",11:01,3,1233.74,2824.18,RB1863,ok2409
201001131156,11.9333333333,2010-01-13,"January 13th, 2010",11:01,3,1243.53,4056.58,RB1863,ok2409
201001131156,11.9333333333,2010-01-13,"January 13th, 2010",11:01,3,1166.74,1645.26,RB1863,ok2409
201001131157,11.9500000000,2010-01-13,"January 13th, 2010",11:01,3,1202.05,4056.7,RB1863,ok2409
201001131157,11.9500000000,2010-01-13,"January 13th, 2010",11:01,3,1227.56,1823.81,RB1863,ok2409
201001131214,12.2333333333,2010-01-13,"January 13th, 2010",12:01,3,1157.2,2807.35,RB2067,ok2730
201001131214,12.2333333333,2010-01-13,"January 13th, 2010",12:01,3,1219.97,684.282,RB2067,ok2730
201001131214,12.2333333333,2010-01-13,"January 13th, 2010",12:01,3,1194.58,2050.24,RB2067,ok2730
201001131215,12.2500000000,2010-01-13,"January 13th, 2010",12:01,3,1192.14,1945.51,RB2067,ok2730
201001131216,12.2666666667,2010-01-13,"January 13th, 2010",12:01,3,1112.46,3820.99,RB2067,ok2730
201001131233,12.5500000000,2010-01-13,"January 13th, 2010",12:01,3,1226.52,889.066,RB982,ok889
201001131233,12.5500000000,2010-01-13,"January 13th, 2010",12:01,3,1243.41,3226.61,RB982,ok889
201001131234,12.5666666667,2010-01-13,"January 13th, 2010",12:01,3,1261.38,1366.29,RB982,ok889
201001131235,12.5833333333,2010-01-13,"January 13th, 2010",12:01,3,1193.17,1404.1,RB982,ok889
201001131235,12.5833333333,2010-01-13,"January 13th, 2010",12:01,3,1285.73,1755.48,RB982,ok889
201001141031,10.5166666667,2010-01-14,"January 14th, 2010",10:01,4,1137.99,1411.93,N2,-N/A-
201001141032,10.5333333333,2010-01-14,"January 14th, 2010",10:01,4,1193.12,1705.3,N2,-N/A-
201001141032,10.5333333333,2010-01-14,"January 14th, 2010",10:01,4,1117.53,699.395,N2,-N/A-
201001141032,10.5333333333,2010-01-14,"January 14th, 2010",10:01,4,1069.58,1581.2,N2,-N/A-
201001141032,10.5333333333,2010-01-14,"January 14th, 2010",10:01,4,1156.87,3508.04,N2,-N/A-
201001141033,10.5500000000,2010-01-14,"January 14th, 2010",10:01,4,1095.88,442.913,N2,-N/A-
201001141033,10.5500000000,2010-01-14,"January 14th, 2010",10:01,4,1188.61,1379.86,N2,-N/A-
201001141034,10.5666666667,2010-01-14,"January 14th, 2010",10:01,4,1148.35,2933.67,N2,-N/A-
201001141053,10.8833333333,2010-01-14,"January 14th, 2010",10:01,4,1170.82,648.027,RB982,ok889
201001141053,10.8833333333,2010-01-14,"January 14th, 2010",10:01,4,1178.06,3366.93,RB982,ok889
201001141053,10.8833333333,2010-01-14,"January 14th, 2010",10:01,4,1180.9,2003.58,RB982,ok889
201001141054,10.9000000000,2010-01-14,"January 14th, 2010",10:01,4,1078.96,1958.01,RB982,ok889
201001141055,10.9166666667,2010-01-14,"January 14th, 2010",10:01,4,1200.37,1400.0,RB982,ok889
201001141055,10.9166666667,2010-01-14,"January 14th, 2010",10:01,4,1232.89,2969.12,RB982,ok889
201001141115,11.2500000000,2010-01-14,"January 14th, 2010",11:01,4,1217.39,1427.47,RB2067,ok2730
201001141115,11.2500000000,2010-01-14,"January 14th, 2010",11:01,4,1195.65,705.469,RB2067,ok2730
201001141115,11.2500000000,2010-01-14,"January 14th, 2010",11:01,4,1196.98,3226.38,RB2067,ok2730
201001141116,11.2666666667,2010-01-14,"January 14th, 2010",11:01,4,1209.26,2608.87,RB2067,ok2730
201001141116,11.2666666667,2010-01-14,"January 14th, 2010",11:01,4,1187.15,2006.82,RB2067,ok2730
201001141117,11.2833333333,2010-01-14,"January 14th, 2010",11:01,4,1198.31,2990.98,RB2067,ok2730
201001141117,11.2833333333,2010-01-14,"January 14th, 2010",11:01,4,1149.09,2880.34,RB2067,ok2730
